,ad_id,xyz_campaign_id,fb_campaign_id,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CPC,CPA,Conversion Rate,CPM
count,938.0,938.0,938.0,938.0,938.0,935.0,938.0,938.0,512.0,938.0,938.0,938.0,938.0,938.0
mean,1023055.5607675907,1093.4051172707889,137533.99680170577,34.18976545842217,227020.00106609808,40.81711229946524,62.583837908498936,3.251599147121535,1.955078125,0.019971162068248297,1.494455447872586,25.247389175852778,10.666556190154402,0.29111616510475335
std,189400.46332237136,116.29965370043139,20367.645299307675,28.59853907629172,331904.0955258737,60.44942075130512,92.20902778641957,4.859676898017645,2.176177188629445,0.009468949132719118,0.24755117526718032,47.11253867493384,23.897913366596597,0.12765627245759484
min,708746.0,916.0,103916.0,2.0,512.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25%,780157.5,936.0,116156.0,16.0,18768.25,3.0,4.59250012075,1.0,1.0,0.013646615468308063,1.3897115449326924,0.0,0.0,0.21440648797112374
50%,1121373.5,1178.0,144586.0,25.0,98061.5,16.0,24.67499995,1.0,1.0,0.018229429356138433,1.4970530358333334,1.625,1.2196935891715008,0.27424093981398484
75%,1121901.75,1178.0,144674.0,31.0,282365.25,50.0,76.62000008250001,3.0,2.0,0.024739826469205556,1.64300003655,34.230000125,6.666666666666667,0.3520551031329089
max,1314415.0,1178.0,179982.0,114.0,3052003.0,421.0,639.9499981,60.0,21.0,0.1059322033898305,2.21199994,352.4499989,100.0,1.5042372425847457
