,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,Conversion Rate (%)
0,2,1711374,311.0,503.45000469400003,34,15.0,4.823151125401929
8,21,2819535,512.0,824.20999891,60,22.0,4.296875
18,31,1046689,195.0,299.099999057,24,13.0,6.666666666666667
20,36,918951,128.0,205.73999954500002,23,8.0,6.25
23,65,1733358,372.0,542.010000733,29,16.0,4.301075268817205
26,101,2960453,524.0,757.68999773,71,25.0,4.770992366412214
27,102,1160953,150.0,215.069999107,14,7.0,4.666666666666667
37,112,2324572,339.0,483.79999892499995,53,15.0,4.424778761061947
